Title,Owner,Homepage,Data_homepage,Data_URLs
Open Recursive Nameservers,Open Recursive Project,http://openresolverproject.org,internal / hidden,internal / hidden
Open NTP,Open NTP project,http://openntpproject.org,internal / hidden,internal / hidden
OpenSSDP,Open NTP project,http://openntpproject.org,internal / hidden,internal / hidden
OpenSNMP,Open NTP project,http://openntpproject.org,internal / hidden,internal / hidden
Spam,"CERT.at, CERT.br",for CERT.at http://hetzner.cert.at/cgi-bin/topspamsubjects.exe,n/a,TBD - as agreed upon
